Date,CityName,StateName,MedianSalePrice,Year,SalesTotal,Total Population,Median Income,MORTGAGE30US,Unemployment Rate,HAI
2010-09-30,Fort Collins,CO,213000.0,2010.0,358.0,,49589.0,4.32,,122.22276614569725
2011-03-31,New York,NY,340000.0,2011.0,8908.0,8128980.0,51270.0,4.86,9.465708759458812,74.33170583589138
2011-03-31,Los Angeles,CA,350000.0,2011.0,8964.0,3782544.0,50028.0,4.86,10.33379241267059,70.45872757946509
2011-03-31,Chicago,IL,160000.0,2011.0,6511.0,2700741.0,47371.0,4.86,12.033568586468766,145.94266391550659
2011-03-31,Dallas,TX,139000.0,2011.0,4767.0,1196258.0,42259.0,4.86,8.496010519565905,149.86289391224588
2011-03-31,Houston,TX,140695.0,2011.0,3955.0,2089090.0,44124.0,4.86,8.393870746979838,154.59160681606645
2011-03-31,Philadelphia,PA,179990.0,2011.0,4237.0,1514456.0,36957.0,4.86,13.427130320217945,101.21340419874365
2011-03-31,Miami,FL,117500.0,2011.0,10188.0,396069.0,30270.0,4.86,10.910264363905622,126.98845911662116
2011-03-31,Atlanta,GA,105000.0,2011.0,6229.0,419250.0,45946.0,4.86,11.263455940491282,215.69898839090794
2011-03-31,Boston,MA,287500.0,2011.0,2822.0,609942.0,51739.0,4.86,10.168190775510434,88.7094487735133
2011-03-31,Phoenix,AZ,110900.0,2011.0,10016.0,1455565.0,48596.0,4.86,8.709355702497405,216.00244961254336
2011-03-31,San Francisco,CA,349000.0,2011.0,5042.0,797983.0,72947.0,4.86,7.511923277915137,103.03189985864269
2011-03-31,Riverside,CA,172500.0,2011.0,6237.0,303569.0,57555.0,4.86,11.952462725216016,164.4688508397778
2011-03-31,Detroit,MI,65000.0,2011.0,5986.0,738223.0,27862.0,4.86,26.367769961273936,211.29471303352267
